filename,absolute_path,relative_path,image_width
000060.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000060.jpg,try_image\000060.jpg,480
000069.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000069.jpg,try_image\000069.jpg,500
000021.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000021.jpg,try_image\000021.jpg,508
000030.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000030.jpg,try_image\000030.jpg,508
000055.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000055.jpg,try_image\000055.jpg,518
000036.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000036.jpg,try_image\000036.jpg,534
000004.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000004.jpg,try_image\000004.jpg,540
000018.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000018.jpg,try_image\000018.jpg,548
000067.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000067.jpg,try_image\000067.jpg,596
000032.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000032.jpg,try_image\000032.jpg,633
000026.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000026.jpg,try_image\000026.jpg,633
000043.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000043.jpg,try_image\000043.jpg,633
000024.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000024.jpg,try_image\000024.jpg,640
000023.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000023.jpg,try_image\000023.jpg,658
000070.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000070.jpg,try_image\000070.jpg,680
000019.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000019.jpg,try_image\000019.jpg,700
000006.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000006.jpg,try_image\000006.jpg,720
000068.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000068.jpg,try_image\000068.jpg,768
000048.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000048.jpg,try_image\000048.jpg,800
000057.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000057.jpg,try_image\000057.jpg,800
000050.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000050.jpg,try_image\000050.jpg,800
000001.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000001.jpg,try_image\000001.jpg,982
000022.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000022.jpg,try_image\000022.jpg,1000
000028.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000028.jpg,try_image\000028.jpg,1000
000034.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000034.jpg,try_image\000034.jpg,1000
000009.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000009.jpg,try_image\000009.jpg,1000
000013.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000013.jpg,try_image\000013.jpg,1000
000002.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000002.jpg,try_image\000002.jpg,1000
000003.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000003.jpg,try_image\000003.jpg,1000
000005.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000005.jpg,try_image\000005.jpg,1000
000007.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000007.jpg,try_image\000007.jpg,1000
000008.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000008.jpg,try_image\000008.jpg,1000
000049.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000049.jpg,try_image\000049.jpg,1000
000044.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000044.jpg,try_image\000044.jpg,1000
000039.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000039.jpg,try_image\000039.jpg,1000
000042.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000042.jpg,try_image\000042.jpg,1000
000037.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000037.jpg,try_image\000037.jpg,1000
000027.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000027.jpg,try_image\000027.jpg,1000
000033.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000033.jpg,try_image\000033.jpg,1000
000056.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000056.jpg,try_image\000056.jpg,1000
000058.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000058.jpg,try_image\000058.jpg,1000
000059.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000059.jpg,try_image\000059.jpg,1000
000053.jpg,C:\Users\сво\OneDrive\Рабочий стол\laba2\try_image\000053.jpg,try_image\000053.jpg,1000
